Имбирь,гр.
Креветки,гр.
Крахмал кукурузный,ст.л.
Куриный бульон,гр.
Молоко обезжиренное,гр.
Орех мускатный,
Отруби овсяные молотые,ст.л.
Соль,
Тофу,гр.
Тыква,гр.
Чеснок,шт.
Фасоль зеленая,гр.
Лук-порей,гр.
Вода,гр.
Уксус бальзамический,гр.
Гвоздика,
Соевый соус,
Шампиньоны,гр.
"Вьетнамский рыбный соус ""Ныок-Мам""",
Куриная грудка,гр.
Кориандр,
Перец черный,
Лук-шалот,шт.
Масло оливковое,капли
Щавель,
Шпинат,гр.
Листья салата,
Яйцо куриное,шт.
Кубик бульонный куринный ,шт.
Лук,шт.
Лук зеленый,
Цуккини,шт.
Морковь,шт.
Репа,шт.
Творог жидкий 0%,гр.
Помидор,гр.
Тунец в собственном соку,гр.
Горчица,
Лосось копченый,гр.
Ветчина куриная,гр.
Тимьян,
Укроп,
Сельдь маринованая,гр.
Яблоко,шт.
Лук красный репчатый,шт.
Брынза 0%,гр.
Базилик,
Петрушка,
Лимон,шт.
Огурец,шт.
Кефир обезжиренный,гр
Индейка филе,гр.
Карри,
Отруби пшеничные молотые,ст.л.
Разрыхлитель,пакетик
Цыпленок,гр.
Йогурт натуральный обезжиренный,гр.
Перец зеленый острый,шт.
Бедро куриное,шт.
Травы прованские,
Корнишоны,
Язык отварной,гр.
Яйцо перепелиное,шт.
Ягоды Годжи,шт.
Чай черный,
Кофе,гр.
Заменитель сахара,табл.
Корица,
Каркаде,ст.л.
Лимонная кислота,гр.
